name,location,address1,city,state,zip,full_address
Dollar Tree #131,Hanover Commons Shopping Cente,428 Eisenhower Drive,Hanover,PA,17331,"428 Eisenhower Drive Hanover, PA 17331"
Dollar Tree #4336,South Hanover Shopping Center,805 Baltimore St. Ste. 201,Hanover,PA,17331,"805 Baltimore St. Ste. 201 Hanover, PA 17331"
Dollar Tree #4263,Northgate Plaza,11 Northgate Plz Unit 21,Harmony,PA,16037,"11 Northgate Plz Unit 21 Harmony, PA 16037"
Dollar Tree #781,Uptown Plaza,2971 North 7th St Suite E,Harrisburg,PA,17110,"2971 North 7th St Suite E Harrisburg, PA 17110"
Dollar Tree #7572,Former Aaron&39s Rents,3243 Paxton Street ste B,Harrisburg,PA,17111,"3243 Paxton Street ste B Harrisburg, PA 17111"
Dollar Tree #721,Union Square,3839 Union Deposit Rd,Harrisburg,PA,17109,"3839 Union Deposit Rd Harrisburg, PA 17109"
Dollar Tree #1689,The Point Shopping Cntr,4267 Union Deposit Road,Harrisburg,PA,17111,"4267 Union Deposit Road Harrisburg, PA 17111"
Dollar Tree #5418,Oakhurst Plaza,4424 Oakhurst Blvd,Harrisburg,PA,17110,"4424 Oakhurst Blvd Harrisburg, PA 17110"
Dollar Tree #1603,Rosemore Shopping Center,1001 W. County Line Road,Hatboro,PA,19040,"1001 W. County Line Road Hatboro, PA 19040"
Dollar Tree #1648,Hilltown Crossing,1537 Bethlehem Pike,Hatfield,PA,19440,"1537 Bethlehem Pike Hatfield, PA 19440"
Dollar Tree #425,Laurel Mall,323 Laurel Mall.,Hazleton,PA,18202,"323 Laurel Mall. Hazleton, PA 18202"
Dollar Tree #1692,Hazelton Shopping Center,562 West Broad Street,Hazleton,PA,18201,"562 West Broad Street Hazleton, PA 18201"
Dollar Tree #2214,Creek Side Marketplace,1832 Leithsville Rd.,Hellertown,PA,18055,"1832 Leithsville Rd. Hellertown, PA 18055"
Dollar Tree #47,Hermitage,1950 East State St.,Hermitage,PA,16148,"1950 East State St. Hermitage, PA 16148"
Dollar Tree #6092,BTS Homestead,713 East 8th Ave,Homestead,PA,15120,"713 East 8th Ave Homestead, PA 15120"
Dollar Tree #1585,Route 6 Mall,650 Old Willow Ave. Unit B,Honesdale,PA,18431,"650 Old Willow Ave. Unit B Honesdale, PA 18431"
Dollar Tree #1625,Village Mall Shopping Center,200 Blair Mill Road Suit 5,Horsham,PA,19044,"200 Blair Mill Road Suit 5 Horsham, PA 19044"
Dollar Tree #3968,Smithfield Town Center,6668 Town Ctr Blvd,Huntingdon,PA,16652,"6668 Town Ctr Blvd Huntingdon, PA 16652"
Dollar Tree #461,Regency Mall,1570 Oakland Ave Unit #105,Indiana,PA,15701,"1570 Oakland Ave Unit #105 Indiana, PA 15701"
