name,location,address1,city,state,zip,full_address
Family Dollar #4774,,533 Miller Ave,Clairton,PA,15025,"533 Miller Ave Clairton, PA 15025"
Family Dollar #7087,,1100 Old Town Rd,Clearfield,PA,16830,"1100 Old Town Rd Clearfield, PA 16830"
Family Dollar #10300,,444 Butler Street,Clintonville,PA,16372,"444 Butler Street Clintonville, PA 16372"
Family Dollar #11095,,400 E Lincoln Highway,Coatesville,PA,19320,"400 E Lincoln Highway Coatesville, PA 19320"
Family Dollar #7618,,1201 Foster Ave.,Crafton,PA,15205,"1201 Foster Ave. Crafton, PA 15205"
Family Dollar #5380,,711 Second St,Cresson,PA,16630,"711 Second St Cresson, PA 16630"
Family Dollar #11761,,164 S Macdade Boulevard,Darby,PA,19023,"164 S Macdade Boulevard Darby, PA 19023"
Family Dollar #7479,,3842 Sr 31,Donegal,PA,15628,"3842 Sr 31 Donegal, PA 15628"
Family Dollar #6144,,989 North Eighty Eight Rd,Dry Tavern,PA,15357,"989 North Eighty Eight Rd Dry Tavern, PA 15357"
Family Dollar #4675,,27 Duquesne Blvd.,Duquesne,PA,15110,"27 Duquesne Blvd. Duquesne, PA 15110"
Family Dollar #11437,,220 S German Steet,Dushore,PA,18614,"220 S German Steet Dushore, PA 18614"
Family Dollar #10262,,222 Water Street,East Brady,PA,16028,"222 Water Street East Brady, PA 16028"
Family Dollar #4227,,254 Line St,Easton,PA,18042,"254 Line St Easton, PA 18042"
Family Dollar #7577,,301 Northampton St,Easton,PA,18042,"301 Northampton St Easton, PA 18042"
Family Dollar #11810,,450 W 8th Street,Erie,PA,16502,"450 W 8th Street Erie, PA 16502"
Family Dollar #1780,,155 E 12th St,Erie,PA,16501,"155 E 12th St Erie, PA 16501"
Family Dollar #5910,,2307 State St,Erie,PA,16503,"2307 State St Erie, PA 16503"
Family Dollar #8316,,2184 W 12th St.,Erie,PA,16505,"2184 W 12th St. Erie, PA 16505"
Family Dollar #7975,,1070 Wyoming Avenue,Exeter,PA,18643,"1070 Wyoming Avenue Exeter, PA 18643"
Family Dollar #10775,,10720 Path Valley Road,Fannettsburg,PA,17221,"10720 Path Valley Road Fannettsburg, PA 17221"
Family Dollar #1090,,701 Sharon New Castle Road,Farrell,PA,16121,"701 Sharon New Castle Road Farrell, PA 16121"
Family Dollar #8662,,4015 Lincoln Way E,Fayetteville,PA,17222,"4015 Lincoln Way E Fayetteville, PA 17222"
Family Dollar #7336,,1132 3rd Avenue,Ford City,PA,16226,"1132 3rd Avenue Ford City, PA 16226"
Family Dollar #12166,,128 North Lehigh Avenue,Frackville,PA,17931,"128 North Lehigh Avenue Frackville, PA 17931"
Family Dollar #5956,,377 Grant St,Franklin,PA,16323,"377 Grant St Franklin, PA 16323"
Family Dollar #9342,,183 South St.,Freeland,PA,18224,"183 South St. Freeland, PA 18224"
Family Dollar #11650,,642 Monongahela Avenue,Glassport,PA,15045,"642 Monongahela Avenue Glassport, PA 15045"
Family Dollar #1030,,118 South Antrim Way,Greencastle,PA,17225,"118 South Antrim Way Greencastle, PA 17225"
Family Dollar #8097,,1564 Route 507,Greentown,PA,18426,"1564 Route 507 Greentown, PA 18426"
Family Dollar #7738,,261 Main St,Greenville,PA,16125,"261 Main St Greenville, PA 16125"
