name,address1,city,state,zip,full_address,g_lat,g_lon,g_country,g_state,g_county,g_city,g_postcode,g_street,g_number,g_confidence,g_formatted,g_quality
Dollar General # 18426,13777 Ridge Rd,West Springfield,PA,16443,"13777 Ridge Rd West Springfield, PA 16443",41.9499052,-80.4677758,USA,Pennsylvania,Erie County,Springfield Township,16443,Ridge Road,,9,"Ridge Road, Springfield Township, PA 16443, United States of America",street
Dollar General # 2191,397 N Fraley St,Kane,PA,16735,"397 N Fraley St Kane, PA 16735",41.6664837,-78.8120866,USA,Pennsylvania,McKean County,Kane,16735,North Fraley Street,397,10,"397 North Fraley Street, Kane, PA 16735, United States of America",number
Dollar General # 9655,605 Main St E,Girard,PA,16417,"605 Main St E Girard, PA 16417",42.0048228,-80.3095306,USA,Pennsylvania,Erie County,Girard,16417,Main Street East,605,9,"Dollar General, 605 Main Street East, Girard, PA 16417, United States of America",number
Dollar General # 15172,12683 Jackson Run Rd,Sugar Grove,PA,16350,"12683 Jackson Run Rd Sugar Grove, PA 16350",41.9724492,-79.3372565,USA,Pennsylvania,Warren County,Sugar Grove,16350,Jackson Run Road,12683,10,"12683 Jackson Run Road, Sugar Grove, PA 16350, United States of America",number
Dollar General # 15315,7538 West Ridge Rd (Us 20),Fairview,PA,16415,"7538 West Ridge Rd (Us 20) Fairview, PA 16415",42.029701,-80.257054,United States of America,Pennsylvania,,Fairview,,W Ridge Rd,,7,"W Ridge Rd, Fairview, PA, United States of America",street
Dollar General # 16852,8214 Perry Hwy,Erie,PA,16509,"8214 Perry Hwy Erie, PA 16509",42.06428,-80.034852,USA,Pennsylvania,Erie County,Waterford Township,16509,Perry Highway,8214,10,"8214 Perry Highway, Waterford Township, PA 16509, United States of America",number
Dollar General # 16722,1462 Lake Street,Lake City,PA,16423,"1462 Lake Street Lake City, PA 16423",42.022744,-80.345268,United States of America,Pennsylvania,,Lake City,,Lake St,1462,10,"1462 Lake St, Lake City, PA, United States of America",number
Dollar General # 18051,6700 Market St,Russell,PA,16345,"6700 Market St Russell, PA 16345",41.9333028,-79.14471020000001,USA,Pennsylvania,Warren County,Pine Grove Township,16345,Market Street,6700,10,"6700 Market Street, Pine Grove Township, PA 16345, United States of America",number
Dollar General # 7705,5051 Peach St,Erie,PA,16509,"5051 Peach St Erie, PA 16509",42.080355,-80.090599,USA,Pennsylvania,Erie County,Millcreek Township,16509,Peach Street,5051,10,"5051 Peach Street, Millcreek Township, PA 16509, United States of America",number
Dollar General # 9037,1501 W 38th St,Erie,PA,16508,"1501 W 38th St Erie, PA 16508",42.090622,-80.097662,USA,Pennsylvania,Erie County,Erie,16508,West 38th Street,1501,10,"1501 West 38th Street, Erie, PA 16508, United States of America",number
Dollar General # 7910,2603 W 26th St,Erie,PA,16506,"2603 W 26th St Erie, PA 16506",42.090324,-80.1314687,USA,Pennsylvania,Erie County,Millcreek Township,16506,West 26th Street,2603,10,"2603 West 26th Street, Millcreek Township, PA 16506, United States of America",number
Dollar General # 18488,4972 Wattsburg Rd,Erie,PA,16504,"4972 Wattsburg Rd Erie, PA 16504",42.1039249,-80.02993410000001,USA,Pennsylvania,Erie County,Erie,16504,Wattsburg Road,4972,10,"4972 Wattsburg Road, Erie, PA 16504, United States of America",number
Dollar General # 9327,3742 W 12th St,Erie,PA,16505,"3742 W 12th St Erie, PA 16505",42.0923042,-80.1660547,USA,Pennsylvania,Erie County,Millcreek Township,16505,West 12th Street,3742,10,"3742 West 12th Street, Millcreek Township, PA 16505, United States of America",number
Dollar General # 4965,2315 W 12th St,Erie,PA,16505,"2315 W 12th St Erie, PA 16505",42.0935438,-80.1625126,USA,Pennsylvania,Erie County,Millcreek Township,16505,West 12th Street,,9,"West 12th Street, Millcreek Township, PA 16505, United States of America",street
